anio,Semanas,Casos confirmados,Casos probables,Casos
2012,1,567,0,567
2012,2,774,0,774
2012,3,753,0,753
2012,4,681,0,681
2012,5,693,0,693
2012,6,546,0,546
2012,7,433,0,433
2012,8,489,0,489
2012,9,451,0,451
2012,10,511,0,511
2012,11,604,0,604
2012,12,625,0,625
2012,13,585,0,585
2012,14,505,0,505
2012,15,512,0,512
2012,16,458,0,458
2012,17,421,0,421
2012,18,432,0,432
2012,19,494,0,494
2012,20,545,0,545
2012,21,482,0,482
2012,22,450,0,450
2012,23,385,0,385
2012,24,338,0,338
2012,25,433,0,433
2012,26,427,0,427
2012,27,504,0,504
2012,28,414,0,414
2012,29,365,0,365
2012,30,303,0,303
2012,31,298,1,299
2012,32,344,0,344
2012,33,292,0,292
2012,34,268,0,268
2012,35,183,0,183
2012,36,141,0,141
2012,37,97,0,97
2012,38,107,0,107
2012,39,94,0,94
2012,40,91,0,91
2012,41,141,0,141
2012,42,184,0,184
2012,43,287,0,287
2012,44,502,0,502
2012,45,1,0,1
2012,46,334,0,334
2012,47,1,0,1
2012,48,973,0,973
2012,49,1,0,1
2012,50,792,0,792
2012,51,1,0,1
2012,52,917,0,917
2012,53,1,0,1
2013,1,261,0,261
2013,2,957,0,957
2013,3,624,0,624
2013,4,458,0,458
2013,5,0,0,0
2013,6,308,0,308
2013,7,256,0,256
2013,8,272,0,272
2013,9,268,0,268
2013,10,283,0,283
2013,11,390,0,390
2013,12,311,0,311
2013,13,319,0,319
2013,14,295,0,295
2013,15,369,0,369
2013,16,390,0,390
2013,17,480,0,480
2013,18,458,0,458
2013,19,549,0,549
2013,20,564,0,564
2013,21,582,0,582
2013,22,426,0,426
2013,23,327,0,327
2013,24,291,0,291
2013,25,366,0,366
2013,26,291,0,291
2013,27,210,0,210
2013,28,213,1,213
2013,29,182,0,182
2013,30,150,0,150
2013,31,143,0,143
2013,32,161,0,161
2013,33,169,0,170
2013,34,146,0,146
2013,35,85,0,85
2013,36,90,0,90
2013,37,112,0,112
2013,38,134,0,134
2013,39,134,0,134
2013,40,97,0,97
2013,41,98,0,98
2013,42,121,0,121
2013,43,78,0,78
2013,44,115,0,115
2013,45,137,0,137
2013,46,130,0,130
2013,47,122,0,122
2013,48,162,0,162
2013,49,147,0,147
2013,50,203,1,203
2013,51,262,0,262
2013,52,345,1,345
2013,53,326,0,326
2014,1,291,0,291
2014,2,279,0,280
2014,3,210,0,210
2014,4,262,0,263
2014,5,0,0,0
2014,6,427,0,427
2014,7,445,0,445
2014,8,462,0,462
2014,9,522,0,522
2014,10,488,0,488
2014,11,553,0,553
2014,12,583,0,583
2014,13,538,0,538
2014,14,449,0,449
2014,15,428,0,428
2014,16,378,0,378
2014,17,383,0,383
2014,18,351,1,351
2014,19,310,0,310
2014,20,340,0,340
2014,21,306,0,306
2014,22,272,0,272
2014,23,308,0,309
2014,24,315,0,315
2014,25,265,0,265
2014,26,264,0,264
2014,27,269,0,269
2014,28,363,0,363
2014,29,312,1,312
2014,30,375,1,375
2014,31,351,0,351
2014,32,351,0,351
2014,33,314,0,314
2014,34,260,0,261
2014,35,188,0,189
2014,36,180,0,180
2014,37,182,0,182
2014,38,246,0,246
2014,39,239,2,239
2014,40,186,0,186
2014,41,247,1,247
2014,42,271,0,271
2014,43,244,0,244
2014,44,279,6,281
2014,45,262,0,262
2014,46,310,0,311
2014,47,343,0,343
2014,48,292,0,292
2014,49,224,0,230
2014,50,294,0,294
2014,51,291,0,291
2014,52,341,0,341
2014,53,311,0,311
2015,1,313,0,313
2015,2,266,0,266
2015,3,258,3,258
2015,4,251,0,251
2015,5,232,2,232
2015,6,272,1,272
2015,7,289,4,289
2015,8,323,3,326
2015,9,333,21,333
2015,10,373,45,375
2015,11,394,37,395
2015,12,512,34,516
2015,13,516,63,519
2015,14,575,111,596
2015,15,592,86,637
2015,16,647,110,684
2015,17,693,173,727
2015,18,643,237,706
2015,19,999,208,1
2015,20,1,160,110
2015,21,335,247,1
2015,22,1,239,421
2015,23,579,196,1
2015,24,1,168,689
2015,25,556,172,1
2015,26,1,171,729
2015,27,859,152,2
2015,28,1,96,96
2015,29,849,63,2
2015,30,1,42,57
2015,31,879,36,2
2015,32,1,48,39
2015,33,789,40,2
2015,34,1,35,36
2015,35,866,45,2
2015,36,1,35,105
2015,37,790,21,1
2015,38,1,31,986
2015,39,588,28,1
2015,40,1,28,756
2015,41,210,19,1
2015,42,914,28,382
2015,43,777,16,1
2015,44,559,10,85
2015,45,395,12,929
2015,46,351,14,655
2015,47,315,6,458
2015,48,274,13,393
2015,49,255,17,351
2015,50,224,30,322
2015,51,285,22,295
2015,52,190,76,259
2015,53,191,0,330
2016,1,174,7,225
2016,2,216,11,212
2016,3,184,10,205
2016,4,187,17,244
2016,5,139,41,212
2016,6,129,57,206
2016,7,124,66,167
2016,8,120,69,145
2016,9,121,79,134
2016,10,92,103,132
2016,11,119,108,135
2016,12,174,83,98
2016,13,199,103,132
2016,14,209,132,191
2016,15,176,108,229
2016,16,0,73,231
2016,17,301,120,252
2016,18,407,116,0
2016,19,443,92,308
2016,20,457,123,418
2016,21,559,103,453
2016,22,711,108,474
2016,23,706,73,600
2016,24,756,68,768
2016,25,820,54,772
2016,26,836,47,825
2016,27,783,34,899
2016,28,648,24,939
2016,29,777,16,891
2016,30,1,21,731
2016,31,10,29,880
2016,32,1,45,1
2016,33,94,19,142
2016,34,1,13,1
2016,35,110,28,202
2016,36,942,18,1
2016,37,1,29,183
2016,38,6,29,1
2016,39,1,35,62
2016,40,42,27,1
2016,41,929,16,122
2016,42,778,17,1
2016,43,715,14,134
2016,44,605,18,1
2016,45,573,25,52
2016,46,426,38,881
2016,47,310,26,823
2016,48,303,19,678
2016,49,237,16,641
2016,50,176,13,480
2016,51,147,15,357
2016,52,167,20,337
2016,53,137,0,261
2017,1,109,28,192
2017,2,71,22,168
2017,3,81,37,196
2017,4,82,43,182
2017,5,81,44,128
2017,6,96,105,84
2017,7,88,105,109
2017,8,135,82,100
2017,9,191,99,110
2017,10,192,127,125
2017,11,115,231,123
2017,12,165,235,162
2017,13,190,301,207
2017,14,172,427,209
2017,15,221,419,129
2017,16,180,777,183
2017,17,173,733,215
2017,18,152,588,210
2017,19,120,485,247
2017,20,135,635,199
2017,21,0,481,189
2017,22,199,399,165
2017,23,228,324,135
2017,24,226,220,155
2017,25,236,176,0
2017,26,344,121,227
2017,27,436,117,250
2017,28,506,115,263
2017,29,465,86,279
2017,30,634,57,388
2017,31,925,68,541
2017,32,1,48,611
2017,33,115,59,547
2017,34,1,47,733
2017,35,608,50,1
2017,36,2,37,52
2017,37,332,54,1
2017,38,3,44,346
2017,39,509,59,1
2017,40,4,58,843
2017,41,259,66,2
2017,42,5,84,633
2017,43,265,57,3
2017,44,5,64,936
2017,45,83,103,4
2017,46,6,95,678
2017,47,485,88,6
2017,48,5,73,42
2017,49,245,80,5
2017,50,4,55,816
2017,51,419,50,7
2017,52,3,36,73
2017,53,173,0,5
2018,1,2,68,730
2018,2,642,83,5
2018,3,2,82,54
2018,4,176,69,3
2018,5,1,90,654
2018,6,651,87,3
2018,7,1,80,41
2018,8,177,89,2
2018,9,819,84,500
2018,10,566,98,1
2018,11,473,104,871
2018,12,372,121,1
2018,13,259,96,353
2018,14,268,123,940
2018,15,166,156,683
2018,16,95,150,588
2018,17,110,151,458
2018,18,91,156,316
2018,19,84,157,336
2018,20,85,210,214
2018,21,96,163,154
2018,22,97,120,157
2018,23,93,115,141
2018,24,85,107,121
2018,25,87,138,139
2018,26,65,110,140
2018,27,84,152,156
2018,28,100,144,151
2018,29,122,89,151
2018,30,91,88,171
2018,31,146,125,122
2018,32,142,129,148
2018,33,129,129,203
2018,34,121,120,217
2018,35,128,107,179
2018,36,0,43,219
2018,37,159,,222
2018,38,173,,184
2018,39,164,,171
2018,40,154,,164
2018,41,146,,0
2018,42,134,,227
2018,43,97,,256
2018,44,91,,246
2018,45,115,,223
2018,46,101,,236
2018,47,88,,221
2018,48,97,,177
2018,49,79,,180
2018,50,88,,199
2018,51,90,,199
2018,52,79,,192
2018,53,70,,218
,,77,,175
,,55,,211
,,31,,246
,,23,,229
,,24,,221
,,29,,233
,,17,,212
,,28,,241
,,20,,186
,,26,,144
,,29,,144
,,19,,124
,,22,,166
,,19,,130
,,21,,178
,,13,,173
,,14,,108
,,2,,110
,,2,,144
,,,,150
,,,,142
,,,,134
,,,,109
,,,,45
